X,Y,Z
2.849000038146972447e+00,1.438500057220459594e+00,1.023299977111816439e+01
-7.286000190734863047e+00,1.753499995231629027e+00,9.758000343322754233e+00
1.028999985694885266e+00,1.398499976158142699e+00,1.039299961853027376e+01
-1.670999942779541003e+00,1.418499957084656371e+00,1.029300019073486361e+01
8.303999961853026690e+00,2.078499923706055519e+00,1.310299965667724642e+01
-3.515999971389770717e+00,1.468500028610230101e+00,1.006799980926513705e+01
3.919000209808349400e+00,1.488500009536743773e+00,1.044299980926513705e+01
1.869000019073486341e+00,1.398499976158142699e+00,1.029800030517578158e+01
-5.641000209808349375e+00,1.573500047683716430e+00,9.602999656677246421e+00
9.399999821186065529e-02,1.398499976158142699e+00,1.043299958038330111e+01
2.029400068664550716e+01,7.485000000000016085e-01,2.503800007629394386e+01
-7.321000038146972422e+00,8.834999904632587775e-01,3.054299923706054543e+01
1.965900045776367122e+01,1.128499995231630804e+00,3.942800137329101773e+01
-1.280599969482421940e+01,9.835000143051165766e-01,2.877799984741210793e+01
3.619000019073486119e+00,9.034999713897726714e-01,3.499300000000000210e+01
-1.447599977111816472e+01,7.634999856948865293e-01,1.978300091552734230e+01
1.131900030517578060e+01,1.083500038146975042e+00,4.004299923706054898e+01
-4.810000047683715696e-01,1.518499980926514059e+00,6.132999866485596030e+00
4.229000152587890859e+00,1.678499947547912763e+00,4.962999790191650717e+00
-1.525999961853027331e+00,1.528499971389770895e+00,5.942999809265137046e+00
2.813999952316283970e+00,1.558499942779541403e+00,5.547999828338623374e+00
1.668999971389770520e+00,1.528499971389770895e+00,5.938000171661377280e+00
-3.880999980926513881e+00,1.638499985694885419e+00,4.967999904632568686e+00
-2.650999961853027553e+00,1.568500052452087790e+00,5.618000000000000327e+00
5.939999833106994753e-01,1.518499980926514059e+00,6.132999866485596030e+00
3.444000066757201939e+00,1.593500028610229657e+00,5.342999904632568686e+00
-1.036000011920928943e+00,1.513499985694885641e+00,6.032999961853027671e+00
-2.101000009536743374e+00,1.533499966621399313e+00,5.777999847412109702e+00
-3.271000085830688686e+00,1.598500023841858075e+00,5.342999904632568686e+00
1.089000047683715833e+00,1.513499985694885641e+00,6.083000152587890952e+00
2.174000085830688267e+00,1.528499971389770895e+00,5.777999847412109702e+00
1.899999523162841653e-02,1.513499985694885641e+00,6.168000190734863608e+00
3.668999971389770298e+00,-2.966499914169309360e+00,3.550799938964843960e+01
1.450899988555908138e+01,5.784999833107009604e-01,2.296800038146972511e+01
-1.225600045776367253e+01,1.038499961853029507e+00,3.644800183105468960e+01
1.189400011444091732e+01,7.235000238418598517e-01,3.119799992370605324e+01
-9.006000457763672529e+00,5.134999856948863073e-01,1.568299958038330111e+01
3.508999885559081822e+00,4.335000023841869554e-01,1.872800061035156105e+01
5.590000166893005495e-01,7.684999809265156134e-01,3.148299977111816261e+01
9.029000343322753253e+00,1.908499966621399535e+00,1.093299958038330111e+01
-7.409999952316284055e-01,1.398499976158142699e+00,1.050800034332275423e+01
7.918999732971191641e+00,2.318499933242798683e+00,1.571800038146972689e+01
-2.541000066757202358e+00,1.428499947547913207e+00,1.037800022888183626e+01
-4.545999942779540781e+00,1.508499990463257445e+00,1.007299992370605501e+01
-7.306000171661376719e+00,1.728500019073486937e+00,9.857999771118164389e+00
1.068999947547912610e+00,1.393499980926514281e+00,1.058800026702880892e+01
2.918999971389770298e+00,1.428499947547913207e+00,1.038300034332275423e+01
-1.670999942779541003e+00,1.413499961853027953e+00,1.044299980926513705e+01
8.388999999999999346e+00,2.043500076293946144e+00,1.315299984741210970e+01
4.389000000000000234e+00,1.618500004768372191e+00,1.157299992370605501e+01
-3.545999942779541225e+00,1.463500033378601684e+00,1.025300022888183626e+01
1.924000085830688489e+00,1.393499980926514281e+00,1.046300026702880892e+01
-5.681000171661376719e+00,1.558499942779541625e+00,9.737999885559082358e+00
1.239999994039535508e-01,1.393499980926514281e+00,1.061800000000000033e+01
2.041399961853027278e+01,6.534999713897721163e-01,2.501300045776367043e+01
1.983399969482421810e+01,1.008499990463259222e+00,3.952799984741211148e+01
-7.525999961853027109e+00,8.234999880790730975e-01,3.175799938964843605e+01
-1.282100003814697331e+01,9.034999713897723383e-01,2.900799938964843605e+01
1.151399999999999935e+01,9.835000143051172428e-01,4.038800045776367398e+01
-1.569099992370605534e+01,7.634999856948866404e-01,2.159300038146972511e+01
